folder,section_code,listing_file,payhip_url
l1-cie0580-e2-04,E2.4,E2.4-Listing.md,https://payhip.com/b/0vKcu
l1-cie0580-e2-05,E2.5,E2.5-Listing.md,https://payhip.com/b/KjnkU
l1-cie0580-e2-06,E2.6,E2.6-Listing.md,https://payhip.com/b/5KVav
l1-cie0580-e2-07,E2.7,E2.7-Listing.md,https://payhip.com/b/zALRG
l1-cie0580-e2-08,E2.8,E2.8-Listing.md,https://payhip.com/b/uGaDh
l1-cie0580-e2-09,E2.9,E2.9-Listing.md,https://payhip.com/b/KArGe
l1-cie0580-e2-10,E2.10,E2.10-Listing.md,https://payhip.com/b/YAVdb
l1-cie0580-e2-11,E2.11,E2.11-Listing.md,https://payhip.com/b/JCKwT
l1-cie0580-e2-12,E2.12,E2.12-Listing.md,https://payhip.com/b/ZLedt
l1-cie0580-e2-13,E2.13,E2.13-Listing.md,https://payhip.com/b/BGoH5
l1-cie0580-e3-01,E3.1,E3.1-Listing.md,https://payhip.com/b/GsRvW
l1-cie0580-e3-02,E3.2,E3.2-Listing.md,https://payhip.com/b/F2N4B
l1-cie0580-e3-03,E3.3,E3.3-Listing.md,https://payhip.com/b/cp50t
l1-cie0580-e3-04,E3.4,E3.4-Listing.md,https://payhip.com/b/yd5lz
l1-cie0580-e3-05,E3.5,E3.5-Listing.md,https://payhip.com/b/tnho2
l1-cie0580-e3-06,E3.6,E3.6-Listing.md,https://payhip.com/b/DP8Uh
l1-cie0580-e3-07,E3.7,E3.7-Listing.md,https://payhip.com/b/1paP7
l1-cie0580-e4-01,E4.1,E4.1-Listing.md,https://payhip.com/b/4x3Gv
l1-cie0580-e4-02,E4.2,E4.2-Listing.md,https://payhip.com/b/u2H86
l1-cie0580-e4-03,E4.3,E4.3-Listing.md,https://payhip.com/b/vIitL
l1-cie0580-e4-04,E4.4,E4.4-Listing.md,https://payhip.com/b/L6Nac
l1-cie0580-e4-05,E4.5,E4.5-Listing.md,https://payhip.com/b/Ynfjg
l1-cie0580-e4-06,E4.6,E4.6-Listing.md,https://payhip.com/b/biQZE
l1-cie0580-e4-07,E4.7,E4.7-Listing.md,https://payhip.com/b/nHbYt
l1-cie0580-e4-08,E4.8,E4.8-Listing.md,https://payhip.com/b/GZz3t
l1-cie0580-e5-01,E5.1,E5.1-Listing.md,https://payhip.com/b/ZxrRJ
l1-cie0580-e5-02,E5.2,E5.2-Listing.md,https://payhip.com/b/D0Iof
l1-cie0580-e5-03,E5.3,E5.3-Listing.md,https://payhip.com/b/3fLuE
l1-cie0580-e5-04,E5.4,E5.4-Listing.md,https://payhip.com/b/sMzK7
l1-cie0580-e5-05,E5.5,E5.5-Listing.md,https://payhip.com/b/zES0n
l1-cie0580-e6-01,E6.1,E6.1-Listing.md,https://payhip.com/b/mOZWF
l1-cie0580-e6-02,E6.2,E6.2-Listing.md,https://payhip.com/b/smgf9
l1-cie0580-e6-03,E6.3,E6.3-Listing.md,https://payhip.com/b/f0qYv
l1-cie0580-e6-04,E6.4,E6.4-Listing.md,https://payhip.com/b/79mdC
l1-cie0580-e6-05,E6.5,E6.5-Listing.md,https://payhip.com/b/Ce7aK
l1-cie0580-e6-06,E6.6,E6.6-Listing.md,https://payhip.com/b/h0Qkn
l1-cie0580-e7-01,E7.1,E7.1-Listing.md,https://payhip.com/b/Q1GfJ
l1-cie0580-e7-02,E7.2,E7.2-Listing.md,https://payhip.com/b/YGgqH
l1-cie0580-e7-03,E7.3,E7.3-Listing.md,https://payhip.com/b/f6ijw
l1-cie0580-e7-04,E7.4,E7.4-Listing.md,https://payhip.com/b/b3xmf
l1-cie0580-e8-01,E8.1,E8.1-Listing.md,https://payhip.com/b/BYwEb
l1-cie0580-e8-02,E8.2,E8.2-Listing.md,https://payhip.com/b/MuGs7
l1-cie0580-e8-03,E8.3,E8.3-Listing.md,https://payhip.com/b/Y4Sk0
l1-cie0580-e8-04,E8.4,E8.4-Listing.md,https://payhip.com/b/wMfp0
l1-cie0580-e9-01,E9.1,E9.1-Listing.md,https://payhip.com/b/tW9ey
l1-cie0580-e9-02,E9.2,E9.2-Listing.md,https://payhip.com/b/tUVfc
l1-cie0580-e9-03,E9.3,E9.3-Listing.md,https://payhip.com/b/Z97Yn
l1-cie0580-e9-04,E9.4,E9.4-Listing.md,https://payhip.com/b/EcVvs
l1-cie0580-e9-05,E9.5,E9.5-Listing.md,https://payhip.com/b/x0j5B
l1-cie0580-e9-06,E9.6,E9.6-Listing.md,https://payhip.com/b/MrULA
l1-cie0580-e9-07,E9.7,E9.7-Listing.md,https://payhip.com/b/FMJcA
