track,folder,section_code,listing_file,payhip_url
foundation,l1-edx4ma1-f4-05,F4.5,F4.5-Listing.md,https://payhip.com/b/Pyjvt
foundation,l1-edx4ma1-f4-06,F4.6,F4.6-Listing.md,https://payhip.com/b/CfojV
foundation,l1-edx4ma1-f4-07,F4.7,F4.7-Listing.md,https://payhip.com/b/cg9rW
foundation,l1-edx4ma1-f4-08,F4.8,F4.8-Listing.md,https://payhip.com/b/Coyep
foundation,l1-edx4ma1-f4-09,F4.9,F4.9-Listing.md,https://payhip.com/b/nkiWm
foundation,l1-edx4ma1-f4-10,F4.10,F4.10-Listing.md,https://payhip.com/b/PIl4N
foundation,l1-edx4ma1-f4-11,F4.11,F4.11-Listing.md,https://payhip.com/b/R9MBw
foundation,l1-edx4ma1-f5-01,F5.1,F5.1-Listing.md,https://payhip.com/b/2LexV
foundation,l1-edx4ma1-f5-02,F5.2,F5.2-Listing.md,https://payhip.com/b/6lDUV
foundation,l1-edx4ma1-f6-01,F6.1,F6.1-Listing.md,https://payhip.com/b/qUhCz
foundation,l1-edx4ma1-f6-02,F6.2,F6.2-Listing.md,https://payhip.com/b/4Ko37
foundation,l1-edx4ma1-f6-03,F6.3,F6.3-Listing.md,https://payhip.com/b/fuB57
higher,l1-edx4ma1-h1-01,H1.1,H1.1-Listing.md,https://payhip.com/b/0BYj2
higher,l1-edx4ma1-h1-02,H1.2,H1.2-Listing.md,https://payhip.com/b/MVuwX
higher,l1-edx4ma1-h1-03,H1.3,H1.3-Listing.md,https://payhip.com/b/S6DTP
higher,l1-edx4ma1-h1-04,H1.4,H1.4-Listing.md,https://payhip.com/b/i2NQY
higher,l1-edx4ma1-h1-05,H1.5,H1.5-Listing.md,https://payhip.com/b/9blZB
higher,l1-edx4ma1-h1-06,H1.6,H1.6-Listing.md,https://payhip.com/b/m9Nhr
higher,l1-edx4ma1-h1-07,H1.7,H1.7-Listing.md,https://payhip.com/b/f2WUS
higher,l1-edx4ma1-h1-08,H1.8,H1.8-Listing.md,https://payhip.com/b/o2mKY
higher,l1-edx4ma1-h1-09,H1.9,H1.9-Listing.md,https://payhip.com/b/TQzR1
higher,l1-edx4ma1-h1-10,H1.10,H1.10-Listing.md,https://payhip.com/b/0arIn
higher,l1-edx4ma1-h1-11,H1.11,H1.11-Listing.md,https://payhip.com/b/kTpKN
higher,l1-edx4ma1-h2-01,H2.1,H2.1-Listing.md,https://payhip.com/b/ug2w0
higher,l1-edx4ma1-h2-02,H2.2,H2.2-Listing.md,https://payhip.com/b/mKJZO
higher,l1-edx4ma1-h2-03,H2.3,H2.3-Listing.md,https://payhip.com/b/0Dv3x
higher,l1-edx4ma1-h2-04,H2.4,H2.4-Listing.md,https://payhip.com/b/fk9YR
higher,l1-edx4ma1-h2-05,H2.5,H2.5-Listing.md,https://payhip.com/b/3SCDV
higher,l1-edx4ma1-h2-06,H2.6,H2.6-Listing.md,https://payhip.com/b/uM0VX
higher,l1-edx4ma1-h2-07,H2.7,H2.7-Listing.md,https://payhip.com/b/K7gx0
higher,l1-edx4ma1-h2-08,H2.8,H2.8-Listing.md,https://payhip.com/b/rRGtQ
higher,l1-edx4ma1-h3-01,H3.1,H3.1-Listing.md,https://payhip.com/b/M9G6x
higher,l1-edx4ma1-h3-02,H3.2,H3.2-Listing.md,https://payhip.com/b/AUe3h
higher,l1-edx4ma1-h3-03,H3.3,H3.3-Listing.md,https://payhip.com/b/A63Kq
higher,l1-edx4ma1-h3-04,H3.4,H3.4-Listing.md,https://payhip.com/b/UYF0T
higher,l1-edx4ma1-h4-01,H4.1,H4.1-Listing.md,https://payhip.com/b/8jFHn
higher,l1-edx4ma1-h4-02,H4.2,H4.2-Listing.md,https://payhip.com/b/u2AQw
higher,l1-edx4ma1-h4-03,H4.3,H4.3-Listing.md,https://payhip.com/b/N1LSD
higher,l1-edx4ma1-h4-04,H4.4,H4.4-Listing.md,https://payhip.com/b/bDgJ1
higher,l1-edx4ma1-h4-05,H4.5,H4.5-Listing.md,https://payhip.com/b/WCA84
higher,l1-edx4ma1-h4-06,H4.6,H4.6-Listing.md,https://payhip.com/b/oPNbu
higher,l1-edx4ma1-h4-07,H4.7,H4.7-Listing.md,https://payhip.com/b/vGUgx
higher,l1-edx4ma1-h4-08,H4.8,H4.8-Listing.md,https://payhip.com/b/Z6WpQ
higher,l1-edx4ma1-h4-09,H4.9,H4.9-Listing.md,https://payhip.com/b/pvAVI
higher,l1-edx4ma1-h4-10,H4.10,H4.10-Listing.md,https://payhip.com/b/JmxAl
higher,l1-edx4ma1-h4-11,H4.11,H4.11-Listing.md,https://payhip.com/b/URFiS
higher,l1-edx4ma1-h5-01,H5.1,H5.1-Listing.md,https://payhip.com/b/AaxGd
higher,l1-edx4ma1-h5-02,H5.2,H5.2-Listing.md,https://payhip.com/b/B9Qvd
higher,l1-edx4ma1-h6-01,H6.1,H6.1-Listing.md,https://payhip.com/b/w3J7L
higher,l1-edx4ma1-h6-02,H6.2,H6.2-Listing.md,https://payhip.com/b/2TR0Z
higher,l1-edx4ma1-h6-03,H6.3,H6.3-Listing.md,https://payhip.com/b/ElGRQ
